[,], [,], [,], [,], [,], [,], [,], [,], [,], [,], [,], [,], [,], [,], [,], [,], [,]
[,], [,], [,], [,], [,], [,], [,], [,], [,], [,], [,], [,], [,], [,], [,], [,], [,]
[307.022, 39.3168], [306.328, 93.7249], [273.098, 92.4433], [265.3, 144.2], [306.328, 93.7249], [340.239, 95.0328], [351.102, 146.598], [302.281, 143.019], [287.07, 191.538], [283.841, 281.764], [309.475, 193.072], [265.986, 342.876], [289.913, 273.653], [287.07, 191.538], [295.814, 339.39], [316.161, 194.455], [254.184, 203.34]
[307.022, 39.3168], [306.328, 93.7249], [273.098, 92.4433], [265.3, 144.2], [306.328, 93.7249], [340.239, 95.0328], [351.102, 146.598], [302.281, 143.019], [287.07, 191.538], [283.841, 281.764], [309.475, 193.072], [265.986, 342.876], [289.913, 273.653], [287.07, 191.538], [295.814, 339.39], [316.161, 194.455], [254.184, 203.34]
[307.076, 39.2263], [306.258, 94.02], [273.404, 92.4517], [265.694, 148.14], [306.258, 94.02], [339.888, 95.6254], [350.257, 146.98], [301.305, 143.684], [286.618, 192.584], [284.416, 282.719], [306.142, 194.203], [269.157, 347.51], [289.843, 274.198], [286.618, 192.584], [295.894, 337.05], [319.767, 203.49], [253.866, 202.76]
[307.076, 39.2263], [306.258, 94.02], [273.404, 92.4517], [265.694, 148.14], [306.258, 94.02], [339.888, 95.6254], [350.257, 146.98], [301.305, 143.684], [286.618, 192.584], [284.416, 282.719], [306.142, 194.203], [269.157, 347.51], [289.843, 274.198], [286.618, 192.584], [295.894, 337.05], [319.767, 203.49], [253.866, 202.76]
[307.045, 38.9274], [306.067, 94.2257], [273.647, 92.5494], [264.987, 150.484], [306.067, 94.2257], [339.348, 95.9464], [349.821, 147.634], [300.541, 144.282], [285.967, 193.542], [284.323, 282], [304.122, 195.213], [262.36, 336.981], [297.338, 275.476], [285.967, 193.542], [298.635, 329.929], [317.326, 203.269], [254.518, 203.529]
[307.045, 38.9274], [306.067, 94.2257], [273.647, 92.5494], [264.987, 150.484], [306.067, 94.2257], [339.348, 95.9464], [349.821, 147.634], [300.541, 144.282], [285.967, 193.542], [284.323, 282], [304.122, 195.213], [262.36, 336.981], [297.338, 275.476], [285.967, 193.542], [298.635, 329.929], [317.326, 203.269], [254.518, 203.529]
[307.128, 38.5757], [305.945, 94.2709], [273.561, 92.784], [265.414, 148.053], [305.945, 94.2709], [339.171, 95.7966], [349.684, 149.12], [300.872, 143.837], [286.031, 192.57], [284.423, 282.86], [305.644, 194.238], [264.398, 340.67], [298.085, 276.266], [286.031, 192.57], [297.737, 333.048], [317.503, 201.158], [254.609, 203.329]
[307.128, 38.5757], [305.945, 94.2709], [273.561, 92.784], [265.414, 148.053], [305.945, 94.2709], [339.171, 95.7966], [349.684, 149.12], [300.872, 143.837], [286.031, 192.57], [284.423, 282.86], [305.644, 194.238], [264.398, 340.67], [298.085, 276.266], [286.031, 192.57], [297.737, 333.048], [317.503, 201.158], [254.609, 203.329]
[307.235, 38.3609], [305.882, 94.2096], [273.616, 92.8517], [265.728, 146.968], [305.882, 94.2096], [338.994, 95.6031], [350.031, 148.573], [300.922, 143.421], [285.988, 191.866], [284.374, 282.446], [306.008, 193.496], [264.542, 340.199], [296.755, 274.838], [285.988, 191.866], [302.993, 332.677], [319.132, 205.627], [254.665, 204.495]
[307.235, 38.3609], [305.882, 94.2096], [273.616, 92.8517], [265.728, 146.968], [305.882, 94.2096], [338.994, 95.6031], [350.031, 148.573], [300.922, 143.421], [285.988, 191.866], [284.374, 282.446], [306.008, 193.496], [264.542, 340.199], [296.755, 274.838], [285.988, 191.866], [302.993, 332.677], [319.132, 205.627], [254.665, 204.495]
[307.401, 38.1879], [305.963, 94.1429], [273.774, 92.768], [266.072, 146.361], [305.963, 94.1429], [338.955, 95.5521], [351.085, 150.314], [301.15, 143.052], [286.056, 191.176], [285.573, 282.6], [306.69, 192.826], [264.548, 339.851], [297.942, 273.723], [286.056, 191.176], [300.609, 335.031], [318.94, 201.404], [254.585, 204.55]
[307.401, 38.1879], [305.963, 94.1429], [273.774, 92.768], [266.072, 146.361], [305.963, 94.1429], [338.955, 95.5521], [351.085, 150.314], [301.15, 143.052], [286.056, 191.176], [285.573, 282.6], [306.69, 192.826], [264.548, 339.851], [297.942, 273.723], [286.056, 191.176], [300.609, 335.031], [318.94, 201.404], [254.585, 204.55]
